,Commercial LEO,Rideshare,Constellation,US Gov/Military,Foreign Gov/Military
200-400kg,2,1,0,2,5
400-600kg,1,1,0,2,4
600-800kg,0,2,0,3,1
800-1000kg,1,2,0,6,2
1000-1200kg,1,1,1,3,3
1200-1400kg,4,1,0,1,2
1400-1600kg,1,1,0,3,7
1600-1800kg,0,3,0,1,2
1800-2000kg,0,3,1,0,0
2000-2200kg,0,1,0,2,2
2200-2400kg,0,1,0,2,1
2400-2600kg,0,2,0,0,0
2600-2800kg,0,1,0,1,0
2800-3000kg,0,0,1,1,3
3000-3200kg,0,1,0,1,0
3200-3400kg,0,2,0,0,1
3400-3600kg,0,0,0,1,2
3600-3800kg,0,2,0,0,0
3800-4000kg,0,0,0,3,0
4000-4200kg,0,0,0,0,1
4200-4400kg,0,1,0,0,0
4400-4600kg,0,1,0,0,0
4600-4800kg,0,0,0,0,0
4800-5000kg,0,0,0,2,0
