,Falcon 9,Atlas 5,PSLV,Vega,H2,GSLV,Ariane 6,Falcon Heavy,Other
200-400kg,2,0,0,1,0,0,0,0,9
400-600kg,0,0,5,0,0,0,0,0,3
600-800kg,3,0,2,1,0,0,0,0,0
800-1000kg,5,1,1,3,0,0,0,0,1
1000-1200kg,5,2,1,2,0,0,0,0,3
1200-1400kg,6,0,0,2,1,0,0,0,1
1400-1600kg,5,2,2,0,4,0,1,0,4
1600-1800kg,4,1,1,1,0,0,1,0,0
1800-2000kg,5,0,0,0,0,0,0,0,1
2000-2200kg,3,0,0,1,0,0,1,0,0
2200-2400kg,3,0,0,0,0,4,0,1,0
2400-2600kg,3,0,0,0,0,0,0,0,0
2600-2800kg,3,1,0,0,0,0,0,1,0
2800-3000kg,1,1,0,0,1,0,0,0,2
3000-3200kg,2,0,0,0,0,0,0,0,0
3200-3400kg,7,1,0,0,1,0,0,0,0
3400-3600kg,4,2,0,0,0,0,1,0,1
3600-3800kg,3,0,0,0,1,0,0,1,0
3800-4000kg,6,0,0,0,0,1,0,0,1
4000-4200kg,0,0,0,0,1,0,1,0,0
4200-4400kg,10,0,0,0,0,1,0,0,0
4400-4600kg,10,2,0,0,0,0,0,0,0
4600-4800kg,1,0,0,0,0,0,0,0,0
4800-5000kg,5,0,0,0,0,0,0,2,5
